ticker,action,quantity,order_type,notional,target_weight,current_shares,target_shares
SPY,BUY,18,MKT,12782.52,13.3,0,18
SHY,BUY,92,MKT,7602.88,7.6,0,92
GLD,BUY,17,MKT,7580.81,7.8,0,17
IEF,BUY,79,MKT,7578.47,7.6,0,79
TLT,BUY,71,MKT,6181.97,6.2,0,71
TIP,BUY,36,MKT,4013.28,4.1,0,36
EFA,BUY,38,MKT,3964.16,4.0,0,38
QQQ,BUY,6,MKT,3893.1,4.5,0,6
VNQ,BUY,38,MKT,3673.84,3.7,0,38
DBC,BUY,126,MKT,3564.54,3.6,0,126
IWM,BUY,12,MKT,3309.36,3.5,0,12
XLP,BUY,34,MKT,2803.64,2.9,0,34
XLU,BUY,60,MKT,2769.6,2.8,0,60
IWD,BUY,12,MKT,2725.8,2.7,0,12
LQD,BUY,24,MKT,2640.96,2.7,0,24
EEM,BUY,39,MKT,2481.96,2.5,0,39
XLK,BUY,16,MKT,2469.6,2.5,0,16
UUP,BUY,90,MKT,2462.4,2.5,0,90
XLE,BUY,42,MKT,2310.84,2.4,0,42
XLF,BUY,44,MKT,2306.92,2.4,0,44
IWF,BUY,4,MKT,1905.64,1.9,0,4
HYG,BUY,23,MKT,1854.95,1.9,0,23
SLV,BUY,25,MKT,1840.75,1.9,0,25
XLV,BUY,12,MKT,1785.6,1.9,0,12
FXY,BUY,26,MKT,1505.14,1.5,0,26
USO,BUY,10,MKT,1160.4,1.3,0,10
